;UUID;Speaker;Utterance
0;c35ce612-d246-4a9e-9714-f682397fecc3;135060;So neither my iPhone nor my Apple Watch are recording my steps/activity, and Health doesn’t recognise either source anymore for some reason.
1;c35ce612-d246-4a9e-9714-f682397fecc3;135060;Any ideas?
2;c35ce612-d246-4a9e-9714-f682397fecc3;135060;https://t.co/m9DPQbkftD
3;c35ce612-d246-4a9e-9714-f682397fecc3;135060;@AppleSupport please read the above.
4;c35ce612-d246-4a9e-9714-f682397fecc3;AppleSupport;@135060 Let’s investigate this together.
5;c35ce612-d246-4a9e-9714-f682397fecc3;AppleSupport;To start, can you tell us the software versions your iPhone and Apple Watch are running currently?
6;c35ce612-d246-4a9e-9714-f682397fecc3;135060;@AppleSupport My iPhone is on 11.1.2, and my watch is on 4.1.
7;c35ce612-d246-4a9e-9714-f682397fecc3;AppleSupport;@135060 Thank you.
8;c35ce612-d246-4a9e-9714-f682397fecc3;AppleSupport;Have you tried restarting both devices since this started happening?
9;c35ce612-d246-4a9e-9714-f682397fecc3;135060;@AppleSupport I’ve restarted both, also un-paired then re-paired the watch.
10;c35ce612-d246-4a9e-9714-f682397fecc3;AppleSupport;@135060 Got it.
11;c35ce612-d246-4a9e-9714-f682397fecc3;AppleSupport;When did you first notice that the two devices were not talking to each other.
12;c35ce612-d246-4a9e-9714-f682397fecc3;AppleSupport;Do the two devices communicate through other apps such as Messages?
13;c35ce612-d246-4a9e-9714-f682397fecc3;135060;@AppleSupport Yes, everything seems fine, it’s just Health and activity.
14;c35ce612-d246-4a9e-9714-f682397fecc3;AppleSupport;@135060 Let’s move to DM and look into this a bit more.
15;c35ce612-d246-4a9e-9714-f682397fecc3;AppleSupport;When reaching out in DM, let us know when this first started happening please.
16;c35ce612-d246-4a9e-9714-f682397fecc3;AppleSupport;For example, did it start after an update or after installing a certain app?
17;c35ce612-d246-4a9e-9714-f682397fecc3;AppleSupport;https://t.co/GDrqU22YpT
18;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;264322;@115850 hi team!
19;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;264322;i m planning to get Apple AirPods !
20;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;264322;it shows on the website it has 10 days replacement warranty, can u explain me what is it ?
21;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;AmazonHelp;@264322 We've a 10days replacement policy if the item you received is damaged or defective.
22;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;AmazonHelp;^SH
23;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;264322;@AmazonHelp Ok !
24;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;264322;But what if i didn’t like the product and want to return it
25;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;AmazonHelp;@264322 We wouldn't be able to accept the remorse returns.
26;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;AmazonHelp;For more information on mobile returns policy.
27;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;AmazonHelp;Kindly click on the link shared here: https://t.co/gYYDFKUNPY.
28;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;AmazonHelp;Appreciate your understanding.
29;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;264322;@AmazonHelp Ok thanks !
30;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;264322;But these are earphones so does it mean same policy apply for these as well
31;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;AmazonHelp;@264322 Yes, headsets/ earphones are not eligible for remorse returns.
32;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;AmazonHelp;In case of any damage/ defect you can reach out to us, we'll check and help you accordingly.
33;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;AmazonHelp;^VN
34;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;264322;@AmazonHelp Oh ok !
35;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;264322;Thanks for the help !
36;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;264322;Much appreciated :)
37;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;AmazonHelp;@264322 Thanks to you too for understanding.
38;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;AmazonHelp;Do keep us posted for any further concerns.
39;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;AmazonHelp;We'll be happy to help.
40;5e58226e-24d8-4562-84f0-1b2ce0ff31a1;AmazonHelp;😊 ^VN
41;a33e2caf-0523-458e-bc7f-24888b0b73e6;216929;@AskAmex Where do I write to address a customer service issue to higher management?
42;a33e2caf-0523-458e-bc7f-24888b0b73e6;AskAmex;@216929 Hi Chris.
43;a33e2caf-0523-458e-bc7f-24888b0b73e6;AskAmex;Which U.S. based card is this concerning?
44;a33e2caf-0523-458e-bc7f-24888b0b73e6;AskAmex;Please do not release any personal or card information.
45;a33e2caf-0523-458e-bc7f-24888b0b73e6;AskAmex;^Clarissa
46;a33e2caf-0523-458e-bc7f-24888b0b73e6;AskAmex;@216929 Hi I never heard back from you.
47;a33e2caf-0523-458e-bc7f-24888b0b73e6;AskAmex;Let me know if I can assist.
48;a33e2caf-0523-458e-bc7f-24888b0b73e6;AskAmex;All the best.
49;a33e2caf-0523-458e-bc7f-24888b0b73e6;AskAmex;^Clarissa
50;a33e2caf-0523-458e-bc7f-24888b0b73e6;216929;@AskAmex It was the Delta sky miles card.
51;a33e2caf-0523-458e-bc7f-24888b0b73e6;AskAmex;@216929 Good Morning.
52;a33e2caf-0523-458e-bc7f-24888b0b73e6;AskAmex;What is this concerning and I may be able to help?
53;a33e2caf-0523-458e-bc7f-24888b0b73e6;AskAmex;^RK
54;a33e2caf-0523-458e-bc7f-24888b0b73e6;216929;@AskAmex Signed up for new card with Delta to book immediately book tix.
55;a33e2caf-0523-458e-bc7f-24888b0b73e6;216929;Card number didn't come up.
56;a33e2caf-0523-458e-bc7f-24888b0b73e6;216929;Customer svce refused to help.
57;a33e2caf-0523-458e-bc7f-24888b0b73e6;AskAmex;@216929 Good morning, thanks for reaching out.
58;a33e2caf-0523-458e-bc7f-24888b0b73e6;AskAmex;Please call our New Accounts Team at 877-399-3086, for assistance.
59;a33e2caf-0523-458e-bc7f-24888b0b73e6;AskAmex;They're available,
60;a33e2caf-0523-458e-bc7f-24888b0b73e6;AskAmex;"@216929 Monday - Friday 8:00 AM to 12:00 AM (ET); Saturday 10:00 AM to 6:00 PM (ET)."
61;a33e2caf-0523-458e-bc7f-24888b0b73e6;AskAmex;Sorry for the inconvenience.^In
62;12bb2706-089e-4483-b1cb-8e6118d92bdf;258930;@AmazonHelp @115821 Wow, expected 4 packages yesterday, but only 2 showed up.
63;12bb2706-089e-4483-b1cb-8e6118d92bdf;258930;50% failure rate-not impressed.
64;12bb2706-089e-4483-b1cb-8e6118d92bdf;258930;Glad I paid for fast shipping.
65;12bb2706-089e-4483-b1cb-8e6118d92bdf;258930;@AmazonHelp @115821 Last month driver delivered box, sat in van for 10 min on phone, and drove off.
66;12bb2706-089e-4483-b1cb-8e6118d92bdf;258930;"Then got notice that package was ""lost in transit""."
67;12bb2706-089e-4483-b1cb-8e6118d92bdf;AmazonHelp;@258930 I'm sorry you only received two of the orders.
68;12bb2706-089e-4483-b1cb-8e6118d92bdf;AmazonHelp;Is this happening with the same carrier each time?
69;12bb2706-089e-4483-b1cb-8e6118d92bdf;AmazonHelp;We can see what options are available for the lost items, reach us by phone or chat here: https://t.co/hApLpMlfHN ^MG
70;12bb2706-089e-4483-b1cb-8e6118d92bdf;258930;@AmazonHelp Problems are mostly with AMZL US delivery, but this time it's UPS.
71;12bb2706-089e-4483-b1cb-8e6118d92bdf;258930;UPS is usually pretty good.
72;12bb2706-089e-4483-b1cb-8e6118d92bdf;258930;@AmazonHelp Also, the item isn't lost.
73;12bb2706-089e-4483-b1cb-8e6118d92bdf;258930;I watched them deliver it.
74;12bb2706-089e-4483-b1cb-8e6118d92bdf;258930;"Status still says ""lost in transit"", though."
75;12bb2706-089e-4483-b1cb-8e6118d92bdf;258930;No big deal, but it makes Amzn look silly
76;12bb2706-089e-4483-b1cb-8e6118d92bdf;AmazonHelp;@258930 Okay, thanks for that info, Dave.
77;12bb2706-089e-4483-b1cb-8e6118d92bdf;AmazonHelp;Have you received any updates via e-mail for the last two packages you were expecting?
