,dialogue_id,turn_id,n_clusters_user,n_clusters_system,n_clusters_final
0,0,0,15.0,,15
1,0,2,4.0,,4
2,0,4,18.0,,18
3,0,6,8.0,,8
4,0,8,1.0,,1
5,1,0,3.0,,3
6,1,2,7.0,,7
7,1,4,14.0,,14
8,1,6,8.0,,8
9,1,8,0.0,,0
10,1,10,20.0,,20
11,1,12,14.0,,14
12,1,14,2.0,,2
13,1,16,6.0,,6
14,1,18,16.0,,16
15,2,0,17.0,,17
16,2,2,5.0,,5
17,2,4,7.0,,7
18,2,6,3.0,,3
19,2,8,8.0,,8
20,2,10,3.0,,3
21,2,12,14.0,,14
22,2,14,20.0,,20
23,2,16,2.0,,2
24,2,18,4.0,,4
25,2,20,16.0,,16
26,3,0,13.0,,13
27,3,2,0.0,,0
28,3,4,17.0,,17
29,3,6,16.0,,16
30,3,8,7.0,,7
31,3,10,15.0,,15
32,3,12,9.0,,9
33,3,14,4.0,,4
34,3,16,15.0,,15
35,3,18,15.0,,15
36,3,20,1.0,,1
37,4,0,19.0,,19
38,4,2,6.0,,6
39,4,4,15.0,,15
40,4,6,9.0,,9
41,4,8,14.0,,14
42,4,10,18.0,,18
43,4,12,16.0,,16
44,4,14,16.0,,16
45,5,0,9.0,,9
46,5,2,14.0,,14
47,5,4,14.0,,14
48,5,6,4.0,,4
49,5,8,15.0,,15
50,5,10,9.0,,9
51,5,12,4.0,,4
52,5,14,10.0,,10
53,5,16,16.0,,16
54,5,18,1.0,,1
55,6,0,9.0,,9
56,6,2,15.0,,15
57,6,4,9.0,,9
58,6,6,7.0,,7
59,6,8,8.0,,8
60,6,10,0.0,,0
61,6,12,1.0,,1
62,7,0,15.0,,15
63,7,2,4.0,,4
64,7,4,9.0,,9
65,7,6,4.0,,4
66,7,8,18.0,,18
67,7,10,1.0,,1
68,8,0,15.0,,15
69,8,2,4.0,,4
70,8,4,9.0,,9
71,8,6,10.0,,10
72,8,8,1.0,,1
73,9,0,9.0,,9
74,9,2,0.0,,0
75,9,4,18.0,,18
76,9,6,3.0,,3
77,9,8,5.0,,5
78,9,10,3.0,,3
79,9,12,7.0,,7
80,9,14,1.0,,1
81,10,0,15.0,,15
82,10,2,4.0,,4
83,10,4,4.0,,4
84,10,6,8.0,,8
85,10,8,6.0,,6
86,10,10,16.0,,16
87,10,12,16.0,,16
88,11,0,17.0,,17
89,11,2,0.0,,0
90,11,4,13.0,,13
91,11,6,14.0,,14
92,11,8,10.0,,10
93,11,10,14.0,,14
94,11,12,14.0,,14
95,11,14,14.0,,14
96,11,16,16.0,,16
97,12,0,8.0,,8
98,12,2,0.0,,0
99,12,4,0.0,,0
100,12,6,7.0,,7
101,12,8,10.0,,10
102,12,10,3.0,,3
103,12,12,14.0,,14
104,12,14,11.0,,11
105,13,0,9.0,,9
106,13,2,3.0,,3
107,13,4,13.0,,13
108,13,6,0.0,,0
109,13,8,13.0,,13
110,13,10,13.0,,13
111,13,12,8.0,,8
112,13,14,7.0,,7
113,13,16,1.0,,1
114,14,0,8.0,,8
115,14,2,18.0,,18
116,14,4,16.0,,16
117,14,6,1.0,,1
118,14,8,3.0,,3
119,14,10,10.0,,10
120,14,12,20.0,,20
121,14,14,16.0,,16
122,15,0,3.0,,3
123,15,2,8.0,,8
124,15,4,7.0,,7
125,15,6,1.0,,1
126,16,0,2.0,,2
127,16,2,4.0,,4
128,16,4,14.0,,14
129,16,6,16.0,,16
130,17,0,3.0,,3
131,17,2,16.0,,16
132,17,4,19.0,,19
133,17,6,3.0,,3
134,17,8,20.0,,20
135,17,10,13.0,,13
136,17,12,20.0,,20
137,17,14,1.0,,1
138,17,16,11.0,,11
139,17,18,16.0,,16
140,17,20,11.0,,11
141,18,0,8.0,,8
142,18,2,8.0,,8
143,18,4,6.0,,6
144,18,6,1.0,,1
145,19,0,8.0,,8
146,19,2,18.0,,18
147,19,4,19.0,,19
148,19,6,3.0,,3
149,19,8,19.0,,19
150,19,10,0.0,,0
151,19,12,7.0,,7
152,19,14,14.0,,14
153,19,16,2.0,,2
154,19,18,4.0,,4
155,19,20,1.0,,1
156,20,0,8.0,,8
157,20,2,8.0,,8
158,20,4,20.0,,20
159,20,6,20.0,,20
160,20,8,3.0,,3
161,20,10,14.0,,14
162,20,12,1.0,,1
163,20,14,11.0,,11
164,21,0,15.0,,15
165,21,2,18.0,,18
166,21,4,10.0,,10
167,21,6,3.0,,3
168,21,8,16.0,,16
169,22,0,15.0,,15
170,22,2,9.0,,9
171,22,4,9.0,,9
172,22,6,14.0,,14
173,22,8,13.0,,13
174,22,10,13.0,,13
175,22,12,11.0,,11
176,23,0,8.0,,8
