Tweet_ID;Dialog_ID;Median_Multiclass;Median_Binary;Annot_1_M;Annot_2_M;Annot_3_M;Annot_1_B;Annot_2_B;Annot_3_B;Speaker;Msg
1511376377634820099;0;-1;0;-1;-1;-1;0;0;0;USER;@nowoportugal alô, preciso de internet pelo menos, ajudem me
1511381756582182915;0;0;1;0;0;0;1;1;1;SERVICE;"Olá @Paulozxl lamentamos a situação que nos reporta, mas existe uma anomalia a decorrer em algumas zonas do país.
No entanto, a nossa equipa técnica já se encontra a retificar esta situação.
Estamos ao seu dispor para ajudar.
Obrigado e até breve!"
1511370426991194122;1;-2;0;-1;-2;-2;0;0;0;USER;@nowoportugal Posso terminar o contrato e mudar para outra operadora sem custos? Ja que voces nao tem capacidade de fornecer um servico basico.
1511376424648720396;1;0;1;0;0;0;1;1;1;SERVICE;"Olá @mpnm77 lamentamos a situação que se sinta assim, mas existe uma anomalia a decorrer em algumas zonas do país.
No entanto, a nossa equipa técnica já se encontra a retificar esta situação.
Estamos ao seu dispor para ajudar.
Obrigado e até breve!"
1511340919290830857;2;-1;0;-1;-1;-1;0;0;0;USER;@nowoportugal sem sinal de Nowo, tampoco net
1511365848656666624;2;0;1;0;0;0;1;1;1;SERVICE;"Olá @doradarocha, lamentamos a situação, mas existe uma anomalia a decorrer em algumas zonas do país.
Contamos ser breves a retificar esta situação.
Poderá acompanhar o estado da anomalia através do link https://t.co/SKUW5o6dtT.
Estamos ao seu dispor.
Obrigado e até breve!"
1511339877815750656;3;-1;0;-1;-1;-1;0;0;0;USER;@nowoportugal têm o serviço de net em baixo e eu a precisar de trabalhar, até quando se vai manter a situação?
1511364833027018754;3;0;1;0;0;0;1;1;1;SERVICE;"Olá @pngantunes, lamentamos a situação, mas existe uma anomalia a decorrer em algumas zonas do país.
Contamos ser breves a retificar esta situação.
Poderá acompanhar o estado da anomalia através do link https://t.co/SKUW5o6dtT.
Estamos ao seu dispor.
Obrigado e até breve!"
1519768362544504833;4;0;1;0;1;0;1;1;1;USER;"Hoje é dia de ver o último concerto de Simone de Oliveira na @RTP1 💙
@playrtp depois vão ter o concerto, certo? 👀"
1519986307371569152;4;1;1;0;1;1;1;1;1;SERVICE;"@IuriPereira09 @RTP1 Certo! Aqui está: 

https://t.co/V4YPsGtsJA"
1512391865676578826;5;1;1;1;1;1;1;1;1;USER;.@playrtp por favor, não deixes de existir! (https://t.co/OJngmxOE4M) https://t.co/hDWBLp7o0j
1513416615567761408;5;1;1;1;1;1;1;1;1;SERVICE;@tvazpereira @KratosPRT @RebeloNuno Seus lindos! 💙
1512878917400551430;6;1;1;1;1;1;1;1;1;USER;Depois de dois dias de trash TV e cartoons, comecei e estou quase a acabar de devorar o 1986 do Markl. Tá muito giro. Na altura em que estreou não tinha achado muito graça ao primeiro episódio, mas agora acho que devia estar de mau humor nesse dia.
1513416081855107072;6;1;1;1;1;1;1;1;1;SERVICE;@LeitoraCompuls2 @RitaNobregaGom1 @CarmeSaborido @Playrt Muito amor para vocês! 💙
1522102906379452416;7;0;1;0;0;0;1;1;1;SERVICE;🔴 Rússia anunciou cessar-fogo de três dias em Azovstal para retirar civis https://t.co/hkzpxzpJZV
1522179925813387264;7;-2;0;-1;-2;-2;0;0;0;USER;@RTPNoticias https://t.co/xgL4A1DCKs Publiquem a verdade seus montes de 💩
1522179029662679041;8;0;1;0;0;-1;1;1;0;SERVICE;🔴Rússia continua a bombardear Azovstal apesar de prometer cessar-fogo de três dias https://t.co/hkzpxzpJZV
